"Participant","Stimulus","Trial_Order_Phase1","Trial_Duration_Phase1","Rating_RT_Phase1","Cue_Color","Condition","Beauty","Attractiveness","Trustworthiness","Trial_Order_Phase2","Trial_Duration_Phase2","Rating_RT_Phase2","Realness","Gender","SexualOrientation","Category","Relevance"
"S045","NF-1049",1,2,8042,"green","Photograph",4,4,4,1,1,1453,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1076",2,2,6813,"green","Photograph",5,5,4,1,1,1753,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1066",3,2,5260,"green","Photograph",4,5,5,1,1,1912,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1037",4,2,6431,"blue","AI-Generated",4,4,4,1,1,1644,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1108",5,2,7810,"blue","AI-Generated",5,5,4,1,1,1749,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1009",6,2,11376,"green","Photograph",4,4,5,1,1,1898,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1075",7,2,7341,"green","Photograph",2,2,2,1,1,2014,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1060",8,2,7442,"blue","AI-Generated",3,2,4,1,1,2056,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1057",9,2,7503,"blue","AI-Generated",2,2,2,1,1,2120,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1082",10,2,5179,"blue","AI-Generated",3,3,4,1,1,1456,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1094",11,2,6323,"blue","AI-Generated",4,4,4,1,1,1403,-2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1084",12,2,6404,"green","Photograph",3,3,3,1,1,3758,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1043",13,2,5035,"blue","AI-Generated",3,3,3,1,1,1606,-3,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1086",14,2,6241,"blue","AI-Generated",4,5,5,1,1,1551,1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1097",15,2,4754,"green","Photograph",3,2,3,1,1,7678,-1,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1003",16,2,6517,"green","Photograph",3,4,4,1,1,1455,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NF-1020",17,2,11216,"green","Photograph",4,3,3,1,1,1718,2,"Female","Heterosexual","Female","Irrelevant"
"S045","NM-1104",18,2,4583,"green","Photograph",2,2,2,1,1,4356,1,"Female","Heterosexual","Male","Relevant"
"S045","NF-1024",19,2,5668,"blue","AI-Generated",3,3,3,1,1,1316,-3,"Female","Heterosexual","Female","Irrelevant"
